name,road_link_id,from_node_id,to_node_id,facility_type,dir_flag,length,lanes,capacity,free_speed,link_type,cost
,1,1000900,2000912,,1,12,1,1,1,1,12
,2,2000912,3000917,,1,5,1,1,1,1,5
,3,3000917,4000930,,1,13,1,1,1,1,13
,4,1000906,2000922,,1,16,1,1,1,1,16
,5,2000922,2000924,,1,2,1,1,1,1,2
,6,2000924,3000935,,1,11,1,1,1,1,11
,7,3000935,3000937,,1,2,1,1,1,1,2
,8,3000937,4000953,,1,16,1,1,1,1,16
,9,1000913,2000928,,1,15,1,1,1,1,15
,10,2000928,2000931,,1,3,1,1,1,1,3
,11,2000931,3000941,,1,10,1,1,1,1,10
,12,3000941,3000944,,1,3,1,1,1,1,3
,13,3000944,4000959,,1,15,1,1,1,1,15
,14,1000919,2000935,,1,16,1,1,1,1,16
,15,2000935,2000937,,1,2,1,1,1,1,2
,16,2000937,3000948,,1,11,1,1,1,1,11
,17,3000948,3000950,,1,2,1,1,1,1,2
,18,3000950,4001006,,1,16,1,1,1,1,16
